MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C020-M24_BAPxbin.17.SR_plate.fasta,0.583333333,0.000
C020-M24_BAPxbin.17.SR_plate.fasta,2,0.000
C020-M24_BAPxbin.17.SR_plate.fasta,3,1.358
C020-M24_WCxbin.6.SR_plate.fasta,0,0.000
C020-M24_WCxbin.6.SR_plate.fasta,0.583333333,0.000
C020-M24_WCxbin.6.SR_plate.fasta,2,2.649
C020-M24_WCxbin.6.SR_plate.fasta,3,4.636
C020-M24x114.SR_stool.fasta,0,0.000
C020-M24x114.SR_stool.fasta,0.583333333,0.000
C020-M24x145.SR_stool.fasta,0,0.000
C020-M24x145.SR_stool.fasta,1,12.305
C020-M24x47_sub.LR_stool.fasta,0,0.000
C020-M24x47_sub.LR_stool.fasta,0.583333333,0.000
C020-M24x47_sub.LR_stool.fasta,2,0.000
C020-M24xbin.1.LR_stool.fasta,0,0.000
C020-M24xbin.1.LR_stool.fasta,0.583333333,0.000
C020-M24xbin.1.LR_stool.fasta,2,0.000
C020-M24xbin.1.LR_stool.fasta,3,0.000
C020-M24xbin.29_sub.LR_stool.fasta,0,0.000
C020-M24xbin.29_sub.LR_stool.fasta,2,2.640
C020-M24xbin.29_sub.LR_stool.fasta,3,4.983
C020-M24xbin.44.SR_stool.fasta,0,0.000
C020-M24xbin.44.SR_stool.fasta,0.583333333,0.000
C020-M24xbin.44.SR_stool.fasta,2,0.000
C020-M24xbin.44.SR_stool.fasta,3,0.000
C020-M24xbin.69.LR_stool.fasta,0,0.000
C020-M24xbin.69.LR_stool.fasta,1,1.279
C020-M24xC020__C020-M24.001.LR_stool.fasta,0,0.000
C020-M24xC020__C020-M24.001.LR_stool.fasta,2,6.676
C020-M24xC020__C020-M24.004.LR_stool.fasta,0,0.000
C020-M24xC020__C020-M24.004.LR_stool.fasta,1,9.956
C020-M24xC020-M24.021.SR_stool.fasta,0,0.000
C020-M24xC020-M24.021.SR_stool.fasta,1,1.041
C020-M36x162.SR_stool.fasta,0,0.000
C020-M36x162.SR_stool.fasta,2,1.622
C020-M36x167.SR_stool.fasta,0,0.000
C020-M36x167.SR_stool.fasta,1,0.000
C020-M36x44.SR_stool.fasta,0,0.000
C020-M36x44.SR_stool.fasta,1,0.000
C020-M36x63.SR_stool.fasta,0,0.000
C020-M36x63.SR_stool.fasta,2,2.423
C020-M36x63.SR_stool.fasta,3,16.478
C020-M36x99.SR_stool.fasta,0,0.000
C020-M36x99.SR_stool.fasta,1,0.000
C020-M36xbin.50.LR_stool.fasta,0,0.000
C020-M36xbin.50.LR_stool.fasta,0.583333333,5.404
C020-M36xbin.50.LR_stool.fasta,2,9.502
C020-M36xbin.51.LR_stool.fasta,0,0.000
C020-M36xbin.51.LR_stool.fasta,1,5.670
C020-M36xbin.74.SR_stool.fasta,0,0.000
C020-M36xbin.74.SR_stool.fasta,1,6.977
C020-M36xC020-M36.033.SR_stool.fasta,0,0.000
C020-M36xC020-M36.033.SR_stool.fasta,0.583333333,0.000
C020-M36xC020-M36.033.SR_stool.fasta,2,5.558
C020-M36xC020-M36.033.SR_stool.fasta,3,12.828
C029-M00_BAPxC029-M00_BAP.001_sub.SR_plate.fasta,0,0.000
C029-M00_BAPxC029-M00_BAP.001_sub.SR_plate.fasta,2,2.701
C029-M00_stoolx106.SR_stool.fasta,0,0.000
C029-M00_stoolx106.SR_stool.fasta,0.5,0.000
C029-M00_stoolx124.SR_stool.fasta,0,0.000
C029-M00_stoolx124.SR_stool.fasta,0.5,0.000
C029-M00_stoolx129.SR_stool.fasta,0,0.000
C029-M00_stoolx129.SR_stool.fasta,0.5,4.057
C029-M00_stoolx129.SR_stool.fasta,2,5.437
C029-M00_stoolx136.SR_stool.fasta,0,0.000
C029-M00_stoolx136.SR_stool.fasta,0.5,1.603
C029-M00_stoolx5.SR_stool.fasta,0,0.000
C029-M00_stoolx5.SR_stool.fasta,0.5,3.774
C029-M00_stoolxbin.30.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.30.SR_stool.fasta,3,2.619
C029-M00_stoolxbin.39_sub.SR_stool.fasta,0,0.000
